twitter_user_id,mastodon_user_id,mastodon_server_hostname
1.02364499758807E+018,1.09366260786091E+017,mstdn.science
15583257,1.09295107358108E+017,sfba.social
2525232430,1.08197686419339E+017,infosec.exchange
9334052,1.09293447791944E+017,mastodon.social
14304173,1.09366633913612E+017,mathstodon.xyz
709313,1.09345074286116E+017,journa.host
46365222,1.09328919995097E+017,kolektiva.social
375674198,1.09364589380554E+017,troet.cafe
817141,7225,mastodon.social
16143105,1.09874488650334E+017,fosstodon.org
8.60985471102403E+017,1.09525837106805E+017,meow.social
1.40152825523721E+018,1.09439267468896E+017,c.im
15193890,1.09367696576266E+017,wig.gl
310526582,1001,mastodon.gamedev.place
810781,1.09312538285299E+017,chaos.social
1676573994,1.09245924732706E+017,c.im
112176770,1.09818591058645E+017,hcommons.social
14799824,1.08203225080343E+017,mstdn.social
176308191,1.09369034446679E+017,piaille.fr
77962713,1.093253985327E+017,mastodon.social
962018767,1.09247976077138E+017,rheinneckar.social
2280545522,1.08299766418272E+017,mastodon.gamedev.place
1.38158773025835E+018,1.0936457373326E+017,mastodon.world
23728233,1.0930098734566E+017,hcommons.social
83505160,1.0933667576148E+017,ioc.exchange
8.25239952464097E+017,1.09268293962627E+017,eldritch.cafe
194068377,1.09308287429132E+017,mastodonapp.uk
1.1232259184016E+018,1.09302972256733E+017,mas.to
15666366,1.09442081602954E+017,hachyderm.io
173448317,132282,queer.party
15279165,1.09228132438599E+017,mastodon.green
44672499,40195,toot.cafe
1.49129349953418E+018,1.09362947965733E+017,kolektiva.social
14188948,1.09539821414307E+017,urbanists.social
91656434,1.09283363023149E+017,c.im
15009171,1.0927599790284E+017,c.im
1451966400,1,post.lurk.org
17992545,1.09688488212528E+017,mas.to
7655662,1.09309995307351E+017,toad.social
103257570,1.09375486221797E+017,mastodon.gal
14788340,1086761,mastodon.social
6612632,1.09273296907826E+017,mas.to
1.19863603501562E+018,1.09365696008137E+017,witter.cz
7.49161067767591E+017,1.09284704775348E+017,mastodon.scot
2370174603,1.09311207618884E+017,c.im
76775594,1.09839680407266E+017,loud.computer
111024913,1.0940400701231E+017,bayes.club
522292390,1.09309599029511E+017,tech.lgbt
31417051,1.0928202284507E+017,mastodon.online
15680084,1.09365747675822E+017,indieweb.social
935721956,1.0926389846173E+017,mas.to
4288869151,1.09302252368825E+017,mastodonapp.uk
748504453,1.09344306564097E+017,tech.lgbt
4455481185,2992,mastodon.opencloud.lu
185594084,1.09383376051798E+017,openbiblio.social
125822301,1.09645771284193E+017,sigmoid.social
1.05377190349058E+018,1.10804979764314E+017,fedi.gbdev.io
2415256890,1.08195126104007E+017,mastodon.online
28464097,1.09374851162265E+017,mastodon.world
1.37204414647556E+018,1.08191663661543E+017,mastodon.social
5997912,1.09308548051073E+017,mas.to
2931701386,1.09501370287287E+017,eupolicy.social
1552240092,1.09286791099367E+017,ecoevo.social
3313043577,1.09290346263131E+017,chaos.social
587518325,1.08232958763882E+017,openbiblio.social
44572624,1.09363560282655E+017,mastodon.au
834072086,1.09299848385216E+017,mastodon.design
225693988,1.08249167874638E+017,kitty.town
124407097,1.09270692917594E+017,mas.to
248796916,1.09598290584801E+017,systemli.social
7.60215100670243E+017,1.09370813350355E+017,kotlin.social
42192923,1.09302260728115E+017,aus.social
308453363,1.09304732584323E+017,infosec.exchange
15171302,1.09295362026664E+017,infosec.exchange
120852564,10001,chaos.social
8.35855326620566E+017,1.09388361130915E+017,piaille.fr
249967104,1.09366664361534E+017,newsie.social
12195,1.09676906204173E+017,spacelase.rs
561899047,1.09279531257356E+017,bayes.club
16784724,1.09362338860952E+017,wandering.shop
1.01911770830939E+018,149555,tabletop.social
9.05701682029453E+017,1.09586983460241E+017,mstdn.social
38182730,113850,masto.donte.com.br
229103126,1.09310821766998E+017,mastodon.uy
50769684,134045,post.lurk.org
2850595645,1.09303406140278E+017,social.coop
70717637,1.0959939584913E+017,mastodon.world
14703696,1.1037878572217E+017,mastodon.acm.org
89401638,1.09538450481277E+017,functional.cafe
14760284,1.09280664325549E+017,mstdn.social
2386648099,1.09419318484372E+017,eupolicy.social
14157847,1.09295230002963E+017,mastodon.online
22216766,1.09316659639686E+017,mathstodon.xyz
53720690,15851,social.coop
61479533,1.09297031393083E+017,androiddev.social
7.43353932747936E+017,1.08068927994887E+017,hannover.social
288674105,1.08199405088717E+017,mastodon.online
7.63892778069741E+017,1.09288753597299E+017,mas.to
2474777035,1.09321013049347E+017,techhub.social
2317057189,1.09409749248013E+017,social.anoxinon.de
14164472,85818,chaos.social
1869597794,1.09247400260889E+017,mastodon.nz
6316202,60989,boitam.eu
203701089,1.09292524329259E+017,noc.social
17563257,1.09932343139297E+017,mastodon.social
4750808902,1.09558707240525E+017,defcon.social
14515931,8071,wandering.shop
1.01260210486999E+018,1.08203312569399E+017,scholar.social
17695167,1.09298378475123E+017,toot.community
997781084,1.09382771848436E+017,zirk.us
15809980,124400,fosstodon.org
571902552,1.09297456058502E+017,mstdn.science
94647609,1.09338478692314E+017,fosstodon.org
52909511,1.09340679095001E+017,fosstodon.org
9.11312296835731E+017,1.09551157316615E+017,sueden.social
690463,500704,mastodon.social
17196586,1.09333765941244E+017,techhub.social
22613206,1.09243810259676E+017,mastodon.social
91772615,1.09260034811507E+017,chaos.social
2510486358,1.09302429214413E+017,mastodonapp.uk
1912385496,1.09388389755345E+017,transportation.social
1.18774222898427E+018,1.09307755650186E+017,sueden.social
1.24146503193138E+018,1.09248328776737E+017,sueden.social
1360511810,1.09254416545142E+017,climatejustice.social
57322598,1.09374841617757E+017,kirche.social
127144154,1.09307549279344E+017,c.im
1.01123536803174E+018,1.09362845347846E+017,fosstodon.org
869772859,1.09320684811122E+017,glammr.us
22168713,1.09246127764369E+017,fosstodon.org
129449090,34078,mastodon.bida.im
733123,1.0836958017595E+017,mastodon.bofhers.es
9.23659146091815E+017,1.09399127574362E+017,verkehrswende.social
16712333,1.10022281954115E+017,mastodon.social
92927372,1.0936364017955E+017,meow.social
7823552,1.09297748781923E+017,hci.social
1.41343829791803E+018,1.09376501989889E+017,ublog.tech
9.02569087259128E+017,1.09295739554529E+017,tooting.ch
14765432,1.09287443104366E+017,hachyderm.io
2690951,124678,aus.social
103031465,1.08130776395365E+017,mas.to
10652272,966734,mastodon.social
380834793,1.09461818777247E+017,mastodon.top
